listing_id,room_type,latitude,longitude,host_type,host_id,host_name
6.86133E+17,Entire home/apt,40.72411,-73.9906,primary,356470759,Matt
37240374,Private room,40.86237,-73.85278,co,290561108,Luan
28964081,Entire home/apt,40.74351,-73.9974,primary,216586866,Joseph
53660977,Private room,40.64366,-73.98159,co,14898658,Chadanut
50753481,Private room,40.69048,-73.93277,co,375058288,Christopher
27700366,Entire home/apt,40.74465,-73.97783,primary,89332421,Mohit
39987747,Entire home/apt,40.72755,-73.95474,primary,14561160,Daniel
7141549,Private room,40.74196,-73.97985,co,489101406,Pedro
16417951,Private room,40.67357,-73.9334,co,132174119,Jessica-Véronique
31172569,Entire home/apt,40.67994,-73.93139,primary,224126362,Nikki Jo
1.00237E+18,Private room,40.6937026,-73.80697661,primary,537729916,Lakhwinder
41267118,Private room,40.70631,-73.92956,co,85350993,Giulia
8.83405E+17,Private room,40.68580823,-73.79015177,co,79651295,Minee
39563416,Private room,40.69082,-73.86348,primary,34457315,José
26352096,Private room,40.7392,-73.87449,primary,115424426,Taylor
41974087,Entire home/apt,40.67559,-73.90799,primary,255476834,Tiffany
53262764,Private room,40.7642,-73.87757,co,156948703,Asad
1.00028E+18,Private room,40.67796428,-73.91822935,co,107297833,Zinnia
44375835,Private room,40.67525,-73.95403,primary,345709132,Patrice
